"Week","TWTR","F","AMD","NIO","CCL","AAPL","DIDI","BAC","SOFI","EDU","BBD","VALE","ITUB","TLRY","NVDA","AMC","PLTR","DNA","BABA","AAL","SWN","T","FB","NCLH","TELL","PBR","JBLU","AUY","NOK","KGC","TSLA","INTC","NLY","MSFT","WFC","XOM","PLUG","MU","OXY","PFE","SNAP","VZ","C","LCID","UBER","CLF","GM","RIVN","GOLD","BEKE","RBLX","FCEL","PCG","MRO","QCOM","KO","ABEV","ISBC","SBUX","GRAB","SIRI","AVTR","TEVA","BP","DKNG","RIG","ET","KMI","SQ","ZNGA","CHNG","BTU","CSX","IQ","FCX","CVE","LYG","BTG","HOOD","CMCSA","UMC","TME","GGB","DAL","BKR","M","CSCO","JOBY","TSM","X","KOS","UAL","JPM","PDD","SPCE","MS","BSX","DISCA","PATH","PYPL","CS","MRVL","MARA","CFG","PLAN","HPQ","OPEN","VTRS","MRK","XPEV","FHN","WMB","RLX","UPST","AMAT","BCS","AGNC","SLB","BMY","ERIC","NLSN","CVX","VICI","KEY","HMHC","LUMN","TAL","AFRM","CPG","SCHW","HL","BA","KDP","HAL","COTY","CHPT","ZIM","BB","FTI","MOS","DVN","DIS","EXC","BILI","PBR-A","ULCC","PPL","HBAN","HPE","SAVE","GFI","ON","CCJ","PINS","GPS","CPNG","MQ","STNE","LAC","QS","ETRN","ASX","PG","RCUS","HBI","EQT","JNJ","CX","IBN","CDEV","APA","CRM","ADI","CTRA","NEE","USB","CIG","RYCEY","CGC","SBS","TXN","RF","PTON","NKLA","SID","AA","WBA","LUV","NEM","PARA","HMY","GE","NVAX","LVS","ABBV","PSLV","JD","MRNA","BKI","RIOT","RLLCF","AG","TECK","INFY","UPS","CVS","AR","WMT","PSTG","TJX","ABT","SYF","TOST","MCHP","GT","TFC","PACB","VG","PAA","SO","VST","NKE","UAA","KR","GILD","COP","PSFE","LAZR","SU","MO","WDC","STLA","OHI","SABR","AZN","SE","SPWR","FTCH","CAG","MNDT","VMEO","CNP","VIR","ING","MTTR","LI","ORCL","MDLZ","NU","RUN"
2020 W01,31.9099995,9.315,48.849998,3.775,50.6,74.7225,15.3566666666667,35.2700005,14.8699998,12.6705,9.24,13.37,7.6999175,16.205,59.4975015,7.39,9.38666666666667,10.228,218.385002,28.37,2.32,38.960001,209.2249985,58.215,7.33,16.13,18.7299995,3.895,3.84,4.735,87.3269995,60.469999,9.455,159.619995,53.584999,70.615002,3.235,54.959999,43.0950015,37.035105,16.7650005,60.7250005,80.465,9.89,31.1800005,7.83,36.8500005,117.889999333333,18.53,35.2199995,71.033333,2.035,10.71,13.715,87.8549995,54.8400005,4.7,11.94,89.09,12.0025,7.11,18.4250005,9.325,38.4850005,10.68,6.985,13.445,21.120001,63.415001,6.19,15.88,10.015,24.346667,23.005,13,10.165,3.32,3.905,34.985001,45.1899985,2.685,12.555,5.025,58.550001,25.625,16.5250005,48.0249995,10.722,59.050001,10.78,5.815,88.82,139.714996,41.0599995,11.8,51.620001,45.155001,32.125,73.113332,109.755001,13.615,27.0249995,1.005,40.33,54.0649985,20.660001,10.867,20.4250005,87.4475175,22.005,16.38,23.54,29.51,36.443333,61.705,9.635,17.7550005,40.3649995,63.0599995,8.93,20.1000005,121.220001,25.29,20.085,6.1625,12.755,49.2450005,109.435,4.53,47.619999,3.385,333.0400085,28.7749995,24.72,11.055,9.8,11.775,6.49,15.9635415,21.095,25.9450005,147.3499985,32.453638,21.5150005,15.165,18.85,35.3999995,14.9,15.97,40.235001,6.565,24.875,8.995,18.58,17.360001,48.8600005,30.64,42.5,3.41,9.8506,13.415,5.475,122.995003,9.78,14.49,10.35,145.125,3.82,15.075,4.74,25.525001,166.5800015,119.369999,17.2550005,59.8675005,58.8549995,3.4,8.905,20.0149995,14.85,128.7100025,16.93,30.17,10.31,3.58,21.46,59.080002,54.594999,43.0250015,41.7700005,3.705,95.600002,4.465,70.260002,89.125,6.605,37.860001,19.0599995,64.119999,1.2,0.0073,12.095,17.240001,10.3,116.755001,73.865002,2.635,118.4150005,17.6099995,61.4700015,86.419998,35.949999,59.0966656666667,53.209999,15.06,56.4349995,5.21,7.445,18.7700005,62.59,22.96,102.0599975,21.8150005,28.6800005,65.1500015,65.579998,9.95,10.225,32.7999995,49.4400005,65.115002,14.785,41.879999,22.76,50.2399995,40.2650015,4.977079,11.205,33.4850005,16.995,57,26.870001,12.095,12.315,11.15025,16.2299995,53.8549995,54.285002,11.09,14.2775
2020 W02,32.6459998,9.234,48.322,3.456,48.7439994,76.067,11.91,34.8419998,19.1740004,13.055,8.7,13.11,7.2118714,15.602,60.2355002,6.76,9.776,10.268,219.576001,27.53,2.216,39.0179992,215.4480012,57.472,7.068,15.8739996,18.5619996,3.776,3.988,4.584,94.8891982,59.2139998,9.494,160.0259978,52.7619996,69.8580016,3.98,56.6679998,45.314,37.0151802,17.0500006,59.4839994,79.3800004,9.834,33.26,7.816,35.0740016,143.8840012,18.0259996,40.8419998,72.7480012,2.2,10.406,13.532,88.8720016,54.827999,4.616,11.712,89.1119996,12.6054,7.06,18.4759998,9.024,39.1620002,11.52,6.624,13.47,21.366,66.1359984,6.534,15.688,9.25,24.3993328,23.7840004,12.988,10.162,3.256,3.92,52.1699994,45.095999,2.628,12.752,5.022,58.464,25.0560004,17.6779996,47.4520004,10.664,58.51,10.918,6.174,87.4059984,136.9120024,39.9759994,11.806,51.5559996,45.5539992,32.048,75.7760012,111.4319992,13.786,26.1159998,0.974,39.69,56.0119994,20.964,11.374,21.008,85.5629778,20.4520006,16.0859998,23.7000002,24.52,44.80499925,61.3060004,9.49,17.8879998,40.1060008,64.2900002,8.826,20.2520002,118.2619994,25.1600006,19.5720004,5.976,12.934,52.1220002,111.52999875,4.67,47.7559998,3.226,333.7299986,28.1420002,24.4759998,10.688,9.894,14.254,6.64,15.668155,20.9020004,25.8799998,145.2399964,32.773181,22.9779994,14.94,20.414,35.3859992,14.49,15.652,39.9239998,6.316,24.5980002,8.934,19.4599998,17.9220002,45.9300002,30.7720002,41.6459998,3.69,9.835,13.028,5.248,123.0139998,9.876,14.304,9.546,144.8980012,3.814,14.838,4.734,31.1719992,177.3160004,119.2780016,17.308,60.5334998,57.1279998,3.52,8.934,20.2699996,14.074,129.492,16.456,29.1360002,10.3344,3.436,20.4079998,56.7220008,54.2059998,42.5,41.4360006,3.724,95.5360004,4.274,70.6960008,89.415999,6.644,38.5260004,18.2859998,64.4699998,1.38,0.01218,11.328,16.1920002,10.306,116.3320008,73.0140018,2.524,116.8220004,18.1239996,62.0239996,86.0419998,35.4420004,51.8059998,54.4860008,14.832,55.7940004,4.838,7.508,18.9100002,62.9899992,22.8540002,101.5080018,20.2240006,28.5220002,65.4880006,65.8780012,9.839,10.324,34.0519996,50.054001,67.2460014,14.258,41.9440004,22.6359996,49.9660004,40.3519998,5.032089,11.01,32.35,17.3799998,44.6660004,26.602,12.456,12.202,16.1020004,17.0380002,54.2320008,54.1119996,10.108,14.726
2020 W03,33.4299998,9.21,49.2419996,4.158,50.6519998,78.7474992,12.106,34.8959998,22.25,13.7306,8.306,13.364,6.9002474,20.27,62.1519998,7.026,9.664,10.108,226.6799988,27.826,1.974,38.0939994,221.2059998,58.3020014,7.66,15.154,18.806,3.7,4.094,4.508,104.2107986,59.4439994,9.628,164.3720002,49.632,69.0939988,4.14,57.2959998,46.714,38.191651,18.3080004,59.418,81.1840014,9.778,34.7599996,7.804,35.2860002,116.2349985,17.7900002,48.7360008,68.2639998,2.188,12.29,13.252,91.7800004,56.5180002,4.502,11.642,91.9620012,12.9464,7.14,18.5080002,10.114,38.7879996,12.64,6.164,13.542,21.43,69.2179994,6.774,16.302,8.746,25.1653338,23.8440004,13.088,9.47,3.03,4.024,52.1379998,46.4959992,2.65,13.946,5.11,61.2940004,23.7740002,17.6520002,48.3679998,10.955,59.2200004,10.618,6.52,88.4539992,137.6339996,38.9959988,14.618,54.5059992,43.6360002,32.2260006,70.8180008,115.2419998,13.918,27.6979998,0.988,39.8619996,57.0620002,21.5839996,11.63,21.532,86.4751892,18.54500025,16.5279996,23.8660004,25,40.75,62.4299992,9.278,18.15,38.8479998,66.5340012,8.924,21.0140002,116.312001,25.852,19.43,6.163,13.39,55.4919996,105.4159988,4.35,48.0379996,3.152,329.7039978,27.7100002,23.8059998,10.998,9.92,17.4740004,6.718,15.2321428,21.56,26.0240004,144.5700012,33.1925826,22.732,14.294,20.0079996,35.7819998,14.578,15.49,41.0260002,6.08,25.1700002,8.928,21.7680004,18.2360002,44.3760004,29.4060002,41.430001,4.156,14.218,13.106,5.316,125.6020004,10.246,14.206,8.446,147.3199982,3.896,14.986,4.445,32.981999,182.3899994,118.9399994,17.2440002,62.5689992,55.7619994,3.66,9,24.2099998,14.484,130.3299988,16.4559998,30.3220008,10.346,3.518,19.1260008,54.3879996,54.764,43.2200006,40.0700006,3.54,95.472,4.568,73.1500004,88.6479996,6.582,40.058,20.4260002,65.92,1.414,0.00902,10.82,16.0300002,10.864,117.8319992,74.7860002,2.468,115.6399994,18.614,62.5060002,87.1039994,35.4500002,52.2219994,54.7140008,14.906,55.972001,4.926,8.458,18.762,65.690001,22.8140006,103.154001,20.8100002,28.3560002,63.7579988,65.0819992,9.752,10.482,34.0780008,50.9979994,68.3879988,13.95,43.1979994,22.7350004,50.4979994,40.523999,5.6647018,12.14,32.3480004,17.2009998,42.78499975,26.8079998,15.3159998,11.878,20.5324995,15.568,54.9560004,54.774,9.28,15.896
2020 W04,33.7974995,9.1275,51.134999,4.885,49.38500025,79.48812675,10.406,34.06999975,20.73,12.974,8.095,13.2025,6.6591095,20.715,62.586875,6.9225,9.442,9.896,219.37749875,27.73999975,1.72,38.6725005,220.1150015,57.41000075,7.4425,14.805,20.14,3.9275,4.0825,4.765,112.689001,63.7675,9.6975,165.98999775,48.32250025,66.96500025,4.05,58.7749995,43.0875005,38.2020875,19.09999975,60.39749925,79.55500025,9.7134,37.21,7.54,34.772501,114.1319992,18.445,49.3839998,66.09249875,2.17,13.4425,12.3625,92.290001,57.57250025,4.475,11.78,92.70999925,13.4295,7.155,18.88500025,10.24,38.13250075,14.225,5.41,12.8825,21.3024995,69.3575,6.41,16.74499975,7.78,25.23166725,23.47249975,12.1,9.005,3.02,4.2525,46.1979988,46.245,2.6325,13.3175,5.21,59.765,22.8075,16.99750025,48.92999925,11.0718,57.95,9.7525,6.21,83.977499,135.802494,38.46,18.3374995,55.46499925,43.7249995,31.19249975,69.7740006,116.630001,13.555,27.655,0.9575,39.807501,56.70000075,21.99249975,11.536,21.8575,84.484732,19.9320002,16.9499995,22.57000025,23.2840004,50.5239998,63.24499975,9.055,18.4025,36.45750025,66.47250175,8.79,21.24249975,112.789999,26.54500025,19.5600005,6.125,14.8375,49.11500075,108.7559984,3.7975,48.23750025,3.145,315.802498,27.7350005,23.595,10.72,9.92,21.05500025,6.615,13.85044675,20.06750025,24.41,142.462498,34.04422275,22.3700005,14.0275,20.102,36.35999875,14.3325,14.9625,42.31499925,6.345,25.01249975,8.5875,22.44250025,17.8949995,47.85499925,28.4260004,43.7675,4.205,18.6274995,11.59,5.18,125.63249775,9.7025,14.3125,7.2125,148.5925025,4.21,14.64,3.98375,30.71500025,183.52750025,119.53999925,15.205,65.03687475,54.5199995,3.595,8.7825,23.87,14.64,132.24250025,16.08999975,30.80999975,10.3475,3.5825,16.3775005,53.15749925,54.7425005,43.87,37.490001,3.5875,93.0200005,8.0925,69.2024975,86.00249875,6.5775,40.33750025,21.375,65.92499925,1.315,0.008275,10.39,15.1275,10.995,117.06000125,73.38999925,2.035,115.46749875,18.8399995,62.09249975,90.68000225,35.24250025,53.86,54.50875,14.4725,56.115,4.9625,8.7475,18.1675,68.70500175,22.6449995,103.529999,20.73500025,28.35250075,63.280001,63.19999875,9.673,10.59,32.8824995,50.7325,69.477499,13.47,43.44750025,22.5762495,50.1825,43.937501,5.78421725,12.7275,32.50499925,16.37750025,45.0599998,26.64499975,17.4725,11.4575,18.9440002,15.238,54.7475005,55.38500025,9.448,16.9912505
2020 W05,33.1059998,8.876,48.6159988,4.07,45.3099998,79.2180008,9.024,33.082,24.6440002,12.504,7.822,11.974,6.446826,18.756,60.7974988,6.656,10.526,9.876,208.5779998,26.8739998,1.61,37.786,213.4659974,54.7659994,7.036,14.336,20.0560006,3.988,3.942,4.956,119.8915984,65.9460006,9.72,167.7579988,47.3179992,64.0820002,3.958,55.0599998,40.644001,36.0891838,18.8019996,59.788,76.4540008,9.694,36.654,7.158,33.4739996,117.0280016,18.3900006,47.00749975,70.6800018,1.672,14.832,11.688,87.504001,57.7519998,4.312,11.866,86.944,12.975,7.118,18.5079998,10.278,37.0359994,14.756,4.684,12.724,21.2460004,74.560002,6.032,15.928,7.014,25.536,22.3400002,11.182,8.864,2.976,4.294,47.4760004,43.7379998,2.502,12.874,4.766,56.7600008,21.8879998,16.5800002,47.1000006,11.18,55.855999,9.212,5.596,76.4880004,133.7879976,36.2880004,17.448,53.3779998,43.0660006,29.9200004,73.5740006,115.8860002,12.954,25.2260002,1.012,37.7839988,57.7619996,21.5,11.714,21.688,82.353055,18.25,16.2520006,21.2740002,22.835,58.3419998,59.46,8.894,18.498,33.8399994,63.882,8.108,20.648,110.0840012,26.6079998,18.9199996,5.762,14.076,49.1120004,131.1740004,3.386,46.1499992,3.024,319.349994,28.4620004,21.8239998,10.344,9.936,20.0080002,6.27,12.453869,19.4459996,22.348,137.2899966,34.0171196,21.9799994,13.496,21.0760002,36.446,13.578,14.382,41.988,6.286,23.76,8.274,22.1720006,17.8920004,45.8540002,27.60500075,43.169999,3.756,18.3079996,9.946,4.876,125.4699998,9.264,14.128,6.32,149.6039978,4.202,14.738,3.332,28.2580002,182.6620026,112.3740006,14.37,66.822,53.6940002,3.562,8.846,22.9799996,14.658,124.9819978,15.512,31.7499996,10.3446,3.13,14.464,52.0179994,56.3099998,44.7020002,34.7000002,3.37,98.0639968,7.426,64.7779992,82.7579974,6.558,38.3760004,21.43,66.459999,1.328,0.00794,10.044,13.338,11.034,111.514,70.1740006,1.82,115.8839996,18.6279998,60.572,88.9139998,32.5879998,51.1900002,50.8680002,13.606,53.4400002,4.752,8.722,17.228,70.2279998,22.05,98.9960006,20.716,27.7040002,63.9440012,60.6060004,9.818,10.592,31.3220002,49.1159996,66.8580018,13.174,42.782,21.912,49.1900002,45.0699996,5.6267192,11.83,33.0439996,15.9720002,43.904,26.4499996,23.7429996,11.034,15.4620002,19.1359996,53.0220002,56.0559996,9.528,16.9500002
2020 W06,35.1719994,8.566,49.2720002,4.17,43.286,79.7100008,9.764,34.1159996,23.2160002,13.2124,7.792,12.202,6.397362,17.5400002,62.2029998,6.68,11.494,9.88,218.726001,28.2739996,1.658,37.8580002,209.4620026,54.3919998,7.368,14.442,20.2300004,3.932,4.088,4.988,155.951602,66.0659972,9.91,180.3839996,47.7019996,61.3560006,4.114,56.322,41.3419998,35.9924096,17.506,58.9699998,77.6279996,9.658,38.1300002,7.578,34.2160004,111.5220002,18.1720004,56.7059996,77.5820006,1.69,17.0199998,11.8,88.8700012,58.8900002,4.016,12.306,86.9039994,13.243,7.17,18.642,11.918,36.5299996,14.288,4.848,12.79,21.1100002,79.2640016,6.266,15.9940004,8.192,25.9486668,24.238,12.002,8.912,2.942,4.19,44.0739998,44.1739998,2.59,13.426,4.898,57.7919996,21.87,16.746,47.8519998,11.172,56.8859998,9.228,5.33,79.1260008,136.2059966,35.736,18.8880006,54.3299994,42.5859994,29.8719998,83.4960008,119.0160002,12.872,24.9159998,1.088,38.5239996,60.4660004,21.6399998,11.971,22.4700002,82.4980928,18.9540002,16.432,21.3500002,18.8279998,59.43500025,62.2859992,8.952,19.0060002,34.305999,65.3619994,8.25,21.0140004,108.3679992,27.0220002,19.5100002,6.093,14.2,55.29,110.8050005,3.23,47.2380012,3.17,328.3339966,28.634,21.9619998,11.5,9.938,20.2399994,6.142,12.889881,20.6520002,22.5099998,142.2279998,34.389444,24.2420002,13.438,20.2480008,36.1660002,13.922,14.622,43.3479996,6.364,20.4480002,8.598,22.986,18.054,45.9459998,25.918,42.6179992,4.212,17.446,9.882,4.924,126.1600008,10.632,14.098,5.672,152.2360014,4.212,14.858,3.058,28.33,186.3399992,113.4399994,14.57,66.7964996,54.5059998,3.598,9.06,21.384,14.758,128.7060012,16.272,31.2800004,10.362,3.034,15.244,52.600001,56.5660002,44.5059996,34.0599998,3.158,101.567999,6.788,67.7119994,86.5520004,6.492,39.9720002,20.8839996,68.2539992,1.416,0.00756,9.704,13.616,10.978,104.2160004,69.5499984,1.778,115.8219974,18.3940002,61.3880006,88.4380006,32.9759996,53.0099998,52.246001,13.488,53.708,4.722,9.18,16.6120002,69.297998,22.1119998,100.1799988,20.5440004,27.6919994,67.3420016,58.1700006,10.357,10.5942,29.9420008,46.3879996,67.901999,13.316,42.4420004,22.1759998,49.2859994,46.1840004,6.1427636,12.176,32.3139996,15.7550002,44.7760002,26.638,20.9329998,11.27,16.2400002,17.2400002,54.2600006,57.995999,8.826,18.5720002
2020 W07,36.4940004,8.15,53.9579992,3.94,42.918,80.9089996,8.934,34.827999,23.52499975,13.8428,7.73,11.888,6.5358614,16.5439998,68.1985016,6.938,15.002,9.87,219.456003,29.6780002,1.564,38.222,211.6659974,52.718,6.82,14.682,20.8979996,3.96,4.35,5.036,156.6791994,67.1940002,10.152,185.3820038,47.9780006,60.668,4.43,58.3360008,41.5599998,35.4990516,17.552,58.8640002,78.9380004,9.646,40.4559996,7.558,34.9599998,94.99499875,18.786,54.6120002,70.9259994,2.072,17.1520006,11.262,89.9899992,59.6620004,3.778,11.878,88.564,14.306,7.202,17.5420002,12.584,36.4179992,17.286,4.566,12.584,21.7059998,80.5799988,6.826,15.8640002,7.864,26.4213334,26.56,12.418,9,2.948,4.178,41.15749925,45.5260002,2.772,13.638,4.786,58.7740006,22.1019998,16.6000002,48.4440002,11.5775,58.5660004,9.012,5.332,80.5479996,137.8160034,36.3699996,23.582,55.8159994,42.3020004,30.1859996,77.76999875,120.1919984,13.504,25.094,1.21,38.7980004,61.9079994,22.24,11.538,22.134,79.919847,19.9520006,16.4940004,21.522,17.898,64.7699992,65.3919998,9.152,19.0920004,34.5559988,66.6720002,9.012,21.4839998,110.9560014,27.778,19.6759998,6.204,14.536,58.6339998,99.317,3.166,47.35,3.02,343.970007,28.6939998,21.9580004,11.736,10.08,21.5020002,6.028,12.7738096,19.7079998,22.9240002,141.1779968,35.1269606,27.198,13.612,20.23,36.0439988,14.048,14.762,43.8920004,6.252,21.28,9.216,23.8040006,18.0439994,43.7380004,26.4820002,40.9719994,5.278,16.8180002,8.888,5.106,124.9759994,11.378,14.34,5.244,151.0320006,4.094,15.154,2.728,27.98,189.2559998,117.0239992,14.848,68.406999,54.9340002,3.394,9.048,20.0519996,14.538,131.5579988,16.4600002,28.42,10.378,2.896,15.668,53.4599998,58.068,44.1219992,34.8860002,3.008,103.5039994,7.402,69.1039994,95.5880004,6.484,41.299999,20.411,70.25,1.602,0.00624,9.68,13.692,11.04,104.9339998,72.8440002,1.712,116.3660002,19.0559998,62.8280008,88.9200012,33.5500008,60.9260002,54.644,11.858,54.6680002,4.334,9.272,16.08,68.8419998,22.9080002,101.9899996,17.6060006,28.426,67.6119996,58.755999,10.464,10.593,29.52,45.5980006,69.223999,13.362,43.4979996,22.0559996,49.2900002,46.9740006,6.2200394,12.452,32.5880006,15.854,49.3360002,27.0740006,18.3379996,11.634,15.784,15.9624995,55.3300012,59.1,7.7525,20.8219992
2020 W08,38.54750025,7.995,56.585,4.055,42.61249925,79.74812325,7.834,34.55,19.5940002,13.905,7.3275,11.835,6.339654,18.55500025,75.8775025,7.3925,17.762,9.94,218.322498,28.32249975,1.68,38.46499925,215.01250075,49.7974995,6.69,14.47,20.88749975,4.47,4.1925,5.61,178.811497,65.75999825,10.4325,184.37999725,47.28000075,59.80250075,5.4125,58.432501,42.28999975,34.18406025,16.9975005,58.1050005,77.572502,9.7,40.7174995,7.3375,34.81750025,103.281999,20.94750025,61.8739988,75.112001,2.595,17.3425,10.2825,88.77249925,59.78750025,3.665,11.63,88.83250025,15.715,7.2675,17.77,13.0675,35.92000025,17.46500025,4.2975,12.515,22.13749975,84.21249775,7.1225,15.89,7.395,26.64083325,24.79249925,12.035,9.05,2.87,4.565,41.3639998,45.99000075,2.655,12.7575,4.5525,58.36999975,20.7275,16.3075,46.5074995,11.5725,56.47249975,9.18,5.18,79.3950005,136.60750175,36.115,34.6949985,54.49999975,42.57499975,29.9924995,72.823999,122.02499975,13.6925,24.88999975,1.0625,38.17499925,61.81500075,22.5025,10.979,21.06500025,78.552004,21.0999994,15.98499975,21.6524995,16.2939996,75.2919998,65.81000175,9.1875,19.46500075,33.790001,65.6449985,8.9525,21.91249975,109.949999,27.90749925,19.74499975,6.47375,13.315,58.82250025,87.0300002,3.2125,47.235,3.2725,335.95999925,29.13,21.83750075,11.4225,10.0825,26.3700002,6.1025,12.74553575,18.58,21.9999995,139.9449995,35.58309575,27.4174995,13.5875,19.3119998,35.50999925,13.9975,14.375,41.51999925,7.1,20.65750025,9.1475,23.09500025,17.2774995,43.8760002,26.852,43.33500025,5.5725,14.244,9.54,4.9375,125.897501,15.36,14.5025,5.8525,149.09499725,3.7725,15.11,2.9175,28.39,191.704998,122.442501,15.285,69.458126,54.629999,3.36,8.7425,21.97499975,14.875,131.09000375,16.4025,26.6625,10.395,2.9975,16.22000025,51.81250025,57.04499925,47.32249925,32.07999925,3.7625,100.27999875,7.9,67.5750005,94.2350005,6.71,41.79249975,18.65000025,75.07750125,1.4575,0.0062,9.7825,12.55,11.32,105.65000125,71.80750075,1.78,118.39500025,18.45249975,63.6125,88.5374985,33.4025,53.118,53.74875,11.2375,54.6949995,4.4175,10.1525,16.15000025,69.20249975,23.0975005,101.8099995,16.46000025,29.835,67.76499925,58.71999925,10.41875,10.59,30.3324995,45.4525,68.47749925,13.195,44.3999995,22.13499975,49.38249975,51.34749975,6.63392275,12.4825,29.9874995,15.7125,50.78249925,26.12499975,16.95000025,10.9275,14.538,17.4940002,55.2699995,59.1875,7.078,22.40000025
2020 W09,34.3879996,7.188,46.7339998,4.178,34.4099992,71.2894972,8.262,30.4139996,17.8219994,13.2704,6.834,10.158,5.8367682,15.7440002,66.2824998,6.376,25.3925,9.918,206.7080018,22.106,1.436,36.6899992,195.3820006,38.0200004,4.306,12.526,17.36,4.276,3.982,5.552,150.3795992,58.4980004,9.558,165.8639984,43.7939992,52.9659998,4.632,52.5239996,34.8880002,32.4174572,15.308,56.2940002,67.609999,9.688,34.9940002,6.218,31.6099998,93.5460006,20.6380006,63.6259986,68.0500002,2.15,16.6739998,8.6,79.488002,56.4980004,3.444,10.912,80.8199996,14.072,6.722,16.2580002,12.54,32.4980006,16.5239996,3.428,11.076,20.4059998,79.2979996,6.87,14.588,6.084,24.7773336,23.854,10.438,7.894,2.602,4.446,44.1440004,42.2939992,2.528,12.288,3.914,49.8059998,17.7240002,13.954,41.7740006,11.49,54.028,8.338,3.454,67.8200004,124.5080018,34.2859992,28.7300002,47.078,39.1379996,26.5139998,69.864,110.2080002,12.052,21.9639996,0.936,33.6639998,52.4079994,22.1659998,10.894,19.1240002,75.6068708,20.2539996,14.582,19.3639996,18.9279992,88.9199996,58.9740006,8.218,18.1300004,28.5159998,61.3580008,8.32,19.7759998,98.1859984,25.9379996,17.55,5.778,12.502,56.004,79.1100008,2.79,41.895999,2.932,298.1,28.5819996,18.3179996,10.016,9.972,25.2540002,5.408,11.4077382,17.7080002,17.118,124.0500002,33.059914,26.7039996,11.72,20.0039998,32.7860002,12.73,13.09,32.6579994,6.818,18.5060006,8.6,20.5259994,14.9760002,40.7940002,27.2880004,41.2179992,4.492,14.886,8.404,4.646,118.324002,15.2420002,13.254,5.376,141.5679964,3.454,14.242,2.352,25.334,177.7259978,112.726001,14.35,66.1174998,49.4840004,3.098,7.986,19.3920004,13.588,117.1759992,14.494,27.6420004,10.4014,2.604,14.262,47.241999,49.0980006,47.9919998,25.0460004,3.896,88.6399994,10.626,59.654,88.372,6.46,39.0079994,24.72,69.8160004,1.241,0.00556,8.846,10.314,10.786,93.3699998,62.6820008,1.562,112.514,16.0300002,61.0760002,80.6679992,30.476,46.2279998,47.2669992,10.082,49.894,3.58,9.388,14.272,64.8180016,21.3239998,91.7480012,14.58,29.036,71.9440004,51.386,10.504,10.5624,28.436,41.8159996,58.6879996,12.294,42.8400002,16.819,46.2220002,46.2900002,5.9279634,10.316,27.5220004,13.985,47.5080002,24.1939998,36.4729996,9.816,13.5175,15.948,51.1799996,55.7760002,7.224,20.6899996
2020 W10,35.036,6.896,48.2040002,3.862,30.4740002,73.6410004,8.686,27.6,18.2060002,13.326,6.544,10.14,5.6224236,12.42,68.3080016,5.438,24.6340004,9.93,209.2900026,17.4500006,1.33,37.1739996,188.069998,31.5799998,1.49,11.848,14.772,4.2,3.762,5.526,146.6660004,57.112,9.384,167.1380004,40.0360002,51.0799996,4.5,53.3740004,31.4420008,33.4079696,13.684,57.0339998,64.9599998,9.716,32.8619994,5.566,30.4520004,82.3460006,20.6840002,67.0719984,71.5619996,1.944,14.868,7.832,79.5119996,56.5799994,3.326,11.252,78.4359982,14.224,6.552,15.7399998,11.108,32.2279994,17.3060004,3.068,11.276,19.8700002,77.6359984,7.074,13.776,4.98,23.2579998,23.2020004,10.088,6.816,2.406,4.322,43.2980004,41.5199996,2.554,12.302,3.78,46.5479994,16.8040002,12.274,40.3699996,12.01,55.7480006,7.75,2.51,56.5419996,116.0759994,36.4939994,24.0419998,44.1100008,37.8619994,25.9640002,69.4479996,112.198001,10.888,22.9739996,0.898,30.7859998,43.2279998,21.4320004,10.904,16.4060004,77.719464,19.7279998,13.476,18.802,9.498,87.8925,59.1280006,7.092,17.814,26.272,60.3660004,7.92,17.3000006,96.4039992,24.8299996,16.1439998,5.189,12.44,57.7980012,78.9999998,2.522,37.2739998,2.76,275.1419922,27.4419996,15.2739998,8.974,9.976,24.98000025,4.808,10.4136904,16.4500002,15.5359998,116.972,32.4878748,27.162,11.184,20.94500025,31.644,12.214,12.304,24.5800002,6.638,18.18,8.652,19.3060002,13.736,35.4240006,28.8940004,42.8419998,4.224,14.29,6.35,4.732,121.1039994,18.15,12.584,6.216,140.625998,3.276,13.514,1.888,24.136,171.1,109.3599992,15.1140002,68.1850006,45.4299996,3.116,7.954,17.158,13.032,115.9420014,13.988,26.7869998,12.998,2.57,12.49,48.4419992,46.014,50.3980004,22.7079998,3.794,84.031999,11.894,56.242,89.4880006,6.206,43.0899994,28.58,68.6119994,1.207,0.00534,8.03,10.528,10.19,93.3720002,64.2240008,1.372,115.7419998,15.35,60.6400002,80.789998,29.3819998,42.89249975,45.3530008,9.1,45.472,3.688,8.756,13.384,66.0140016,20.5219996,91.2680008,13.492,31.0980002,76.3940002,47.9620004,12.986,10.6,26.3580002,42.6420008,57.7099998,12.092,40.2879998,12.084,47.1779996,50.4840002,5.8624756,11.312,28.284,13.786,43.9999992,22.9779998,44.0700006,9.054,13.72,16.8439998,49.132,56.1839996,8.938,20.2389994
