"Wk","TWTR","SOFI","ISBC","F","HPQ","AMD","NIO","AAPL","NVDA","AMC","BAC","TLRY","T","ITUB","CCL","BBD","AAL","DIDI","PFE","PLTR","UBER","MSFT","WFC","SWN","RBLX","C","PBR","KGC","GM","ZNGA","XOM","TSLA","PCG","JBLU","TELL","IQ","OXY","BABA","INTC","GOGO","MU","NOK","VALE","NLSN","NLY","GOLD","DNA","NCLH","SNAP","LCID","SST","ABEV","VZ","PBR-A","SQ","CMCSA","RIVN","CDK","DKNG","BMY","M","TME","ET","FB","DISCA","LYG","RIG","CCJ","PLUG","KMI","CLF","CSCO","HBAN","AUY","HOOD","EDU","HPE","KO","CSX","BCS","MRO","CVE","GGB","CS","EXC","GRAB","OPEN","PINS","JPM","BP","MRK","SIRI","CDEV","KOS","PDD","BEKE","CCCS","X","VTRS","DAL","RF","PYPL","FCX","BILI","MRVL","FCEL","SBUX","JD","AGNC","UAL","PARA","AMAT","NKLA","MS","IBN","TAL","PTON","LUV","UPST","CFG","LU","UMC","AFRM","RLX","WBA","CTRA","HMHC","MOS","MARA","XPEV","CNP","EQT","DIS","TEVA","WMT","QCOM","TSM","SPCE","APA","SLB","LUMN","PLAN","USB","PATH","KEY","NYCB","BKR","MQ","INFY","ASX","BTG","LI","KHC","CVX","TGT","DVN","SCHW","BTU","HAL","AUR","ERIC","HST","TJX","AZN","GT","ABBV","BA","JNJ","COTY","FTI","GILD","NEE","GE","CPG","PPL","ORCL","VIPS","AR","ATUS","SU","V","CHPT","EURN","STNE","PG","FITB","CPNG","MDT","BB","AEO","SYF","GPS","CX","HL","TCOM","KR","CL","GSK","LYFT","CGC","NRZ","COP","RIOT","RKT","DELL","FTCH","MO","AA","DISCK","RTX","CAG","SO","SNOW","AMCR","FUTU","MDLZ","BX","CIG","RHHBY","RBGLY","ON","HBI","QS","WMB","JOBY","CVS","OTLY","RRC","BCRX","NU","CNHI","MRNA","SAVE","GLW","YMM","VST","NXE","LVS","PSX","LEVI","PAA","FHN","MGM","PGRE","ZTO","AVTR","TMUS","NKE","HMY","MTTR"
1577664000,31.9099995,14.8699998,11.935,9.315,20.660001,48.849998,3.775,74.7225,59.4975015,7.39,35.2700005,16.205,38.960001,7.6999175,50.6,9.24,28.37,15.3566666666667,37.035105,9.38666666666667,31.1800005,159.619995,53.584999,2.32,71.033333,80.465,16.13,4.735,36.8500005,6.19,70.615002,87.3269995,10.71,18.7299995,7.33,23.005,43.0950015,218.385002,60.469999,6.09,54.959999,3.84,13.37,20.1000005,9.455,18.53,10.228,58.215,16.7650005,9.89,10.02,4.7,60.7250005,15.165,63.415001,45.1899985,117.889999333333,55.155001,10.68,63.0599995,16.5250005,12.555,13.445,209.2249985,32.125,3.32,6.985,8.995,3.235,21.120001,7.83,48.0249995,14.9,3.895,34.985001,12.6705,15.97,54.8400005,24.346667,9.635,13.715,10.165,5.025,13.615,32.453638,12.0025,10.867,18.58,139.714996,38.4850005,87.4475175,7.11,4.74,5.815,41.0599995,35.2199995,11.586,10.78,20.4250005,58.550001,16.93,109.755001,13,21.5150005,27.0249995,2.035,89.09,37.860001,17.7550005,88.82,41.7700005,61.705,10.31,51.620001,15.075,49.2450005,30.17,54.594999,36.443333,40.33,12.85,2.685,109.435,29.51,59.080002,17.2550005,6.1625,21.095,1.005,22.005,26.870001,10.35,147.3499985,9.325,118.4150005,87.8549995,59.050001,11.8,25.525001,40.3649995,12.755,54.0649985,58.8549995,73.113332,20.085,11.9,25.625,30.64,10.3,5.475,3.905,16.2299995,31.4250005,121.220001,125.415001,25.9450005,47.619999,10.015,24.72,9.926,8.93,18.1350005,61.4700015,50.2399995,15.06,89.125,333.0400085,145.125,11.055,15.9635415,65.1500015,59.8675005,95.600002,4.53,35.3999995,53.8549995,14.855,2.635,27.975,32.7999995,190.3600005,9.8,12.96,42.5,122.995003,30.7300005,48.8600005,114.2199975,6.49,14.32,35.949999,17.360001,3.82,3.385,36.5750005,28.6800005,68.07,46.699999,43.3850005,20.0149995,16.2049995,65.579998,1.2,23.205,26.0669045,11.205,49.4400005,21.46,30.1050005,96.441158,33.4850005,62.59,240.489995333333,10.56,10.425,54.285002,55.8999995,3.4,40.7700005,16.5250005,24.875,14.49,9.8506,23.54,10.722,73.865002,21.33,4.45,3.375,11.09,11.23,19.0599995,40.235001,29.795,20.5833333333333,22.96,1.24,70.260002,110.3449975,19.155001,18.7700005,16.38,33.4750005,13.715,23.509999,18.4250005,78.379997,102.0599975,3.705,11.15025
1578268800,32.6459998,19.1740004,11.712,9.234,20.964,48.322,3.456,76.067,60.2355002,6.76,34.8419998,15.602,39.0179992,7.2118714,48.7439994,8.7,27.53,11.91,37.0151802,9.776,33.26,160.0259978,52.7619996,2.216,72.7480012,79.3800004,15.8739996,4.584,35.0740016,6.534,69.8580016,94.8891982,10.406,18.5619996,7.068,23.7840004,45.314,219.576001,59.2139998,5.776,56.6679998,3.988,13.11,20.2520002,9.494,18.0259996,10.268,57.472,17.0500006,9.834,10.096,4.616,59.4839994,14.94,66.1359984,45.095999,143.8840012,55.436,11.52,64.2900002,17.6779996,12.752,13.47,215.4480012,32.048,3.256,6.624,8.934,3.98,21.366,7.816,47.4520004,14.49,3.776,52.1699994,13.055,15.652,54.827999,24.3993328,9.49,13.532,10.162,5.022,13.786,32.773181,12.6054,11.374,19.4599998,136.9120024,39.1620002,85.5629778,7.06,4.734,6.174,39.9759994,40.8419998,11.758,10.918,21.008,58.464,16.456,111.4319992,12.988,22.9779994,26.1159998,2.2,89.1119996,38.5260004,17.8879998,87.4059984,41.4360006,61.3060004,10.3344,51.5559996,14.838,52.1220002,29.1360002,54.2059998,44.80499925,39.69,13.87,2.628,111.52999875,24.52,56.7220008,17.308,5.976,20.9020004,0.974,20.4520006,26.602,9.546,145.2399964,9.024,116.8220004,88.8720016,58.51,11.806,31.1719992,40.1060008,12.934,56.0119994,57.1279998,75.7760012,19.5720004,11.626,25.0560004,30.7720002,10.306,5.248,3.92,17.0380002,30.788,118.2619994,123.802002,25.8799998,47.7559998,9.25,24.4759998,9.8342,8.826,17.5359998,62.0239996,49.9660004,14.832,89.415999,333.7299986,144.8980012,10.688,15.668155,65.4880006,60.5334998,95.5360004,4.67,35.3859992,54.2320008,14.944,2.524,28.4859998,34.0519996,191.3640012,9.894,12.81,41.6459998,123.0139998,29.9940002,45.9300002,116.581999,6.64,14.32,35.4420004,17.9220002,3.814,3.226,36.742,28.5220002,69.0640002,46.5120004,44.8160002,20.2699996,16.2859996,65.8780012,1.38,19.9899998,25.3431314,11.01,50.054001,20.4079998,30.0439996,96.3876662,32.35,62.9899992,227.4280028,10.394,10.432,54.1119996,56.822001,3.52,40.8900002,16.2799998,24.5980002,14.304,9.835,23.7000002,10.664,73.0140018,21.8760004,4.628,3.262,10.108,11.006,18.2859998,39.9239998,29.9900002,18.3919996,22.8540002,1.224,70.6960008,106.1080002,18.96,18.9100002,16.0859998,33.1379998,13.812,23.1739998,18.4759998,79.1539994,101.5080018,3.724,16.1020004
1578873600,33.4299998,22.25,11.642,9.21,21.5839996,49.2419996,4.158,78.7474992,62.1519998,7.026,34.8959998,20.27,38.0939994,6.9002474,50.6519998,8.306,27.826,12.106,38.191651,9.664,34.7599996,164.3720002,49.632,1.974,68.2639998,81.1840014,15.154,4.508,35.2860002,6.774,69.0939988,104.2107986,12.29,18.806,7.66,23.8440004,46.714,226.6799988,59.4439994,5.508,57.2959998,4.094,13.364,21.0140002,9.628,17.7900002,10.108,58.3020014,18.3080004,9.778,10.188,4.502,59.418,14.294,69.2179994,46.4959992,116.2349985,56.3800002,12.64,66.5340012,17.6520002,13.946,13.542,221.2059998,32.2260006,3.03,6.164,8.928,4.14,21.43,7.804,48.3679998,14.578,3.7,52.1379998,13.7306,15.49,56.5180002,25.1653338,9.278,13.252,9.47,5.11,13.918,33.1925826,12.9464,11.63,21.7680004,137.6339996,38.7879996,86.4751892,7.14,4.445,6.52,38.9959988,48.7360008,11.456,10.618,21.532,61.2940004,16.4559998,115.2419998,13.088,22.732,27.6979998,2.188,91.9620012,40.058,18.15,88.4539992,40.0700006,62.4299992,10.346,54.5059992,14.986,55.4919996,30.3220008,54.764,40.75,39.8619996,17.618,2.65,105.4159988,25,54.3879996,17.2440002,6.163,21.56,0.988,18.54500025,26.8079998,8.446,144.5700012,10.114,115.6399994,91.7800004,59.2200004,14.618,32.981999,38.8479998,13.39,57.0620002,55.7619994,70.8180008,19.43,11.668,23.7740002,29.4060002,10.864,5.316,4.024,15.568,31.4500002,116.312001,119.8740006,26.0240004,48.0379996,8.746,23.8059998,9.8054,8.924,17.7499994,62.5060002,50.4979994,14.906,88.6479996,329.7039978,147.3199982,10.998,15.2321428,63.7579988,62.5689992,95.472,4.35,35.7819998,54.9560004,14.696,2.468,28.8240002,34.0780008,199.3660004,9.92,11.794,41.430001,125.6020004,29.4940004,44.3760004,118.054001,6.718,14.602,35.4500002,18.2360002,3.896,3.152,38.2200006,28.3560002,70.6320006,47.3300004,46.8920004,24.2099998,16.5660006,65.0819992,1.414,22.052,25.6431828,12.14,50.9979994,19.1260008,30.2299998,96.098175,32.3480004,65.690001,246.2200044,10.74,11.328,54.774,59.1360002,3.66,41.6119994,16.2880002,25.1700002,14.206,14.218,23.8660004,10.955,74.7860002,24.1674995,4.388,2.816,9.28,10.946,20.4260002,41.0260002,30.05,16.455,22.8140006,1.248,73.1500004,104.7339996,19.3160002,18.762,16.5279996,33.6620002,14.024,23.7420002,18.5080002,80.6120012,103.154001,3.54,20.5324995
1579478400,33.7974995,20.73,11.78,9.1275,21.99249975,51.134999,4.885,79.48812675,62.586875,6.9225,34.06999975,20.715,38.6725005,6.6591095,49.38500025,8.095,27.73999975,10.406,38.2020875,9.442,37.21,165.98999775,48.32250025,1.72,66.09249875,79.55500025,14.805,4.765,34.772501,6.41,66.96500025,112.689001,13.4425,20.14,7.4425,23.47249975,43.0875005,219.37749875,63.7675,5.3175,58.7749995,4.0825,13.2025,21.24249975,9.6975,18.445,9.896,57.41000075,19.09999975,9.7134,10.014,4.475,60.39749925,14.0275,69.3575,46.245,114.1319992,55.1324985,14.225,66.47250175,16.99750025,13.3175,12.8825,220.1150015,31.19249975,3.02,5.41,8.5875,4.05,21.3024995,7.54,48.92999925,14.3325,3.9275,46.1979988,12.974,14.9625,57.57250025,25.23166725,9.055,12.3625,9.005,5.21,13.555,34.04422275,13.4295,11.536,22.44250025,135.802494,38.13250075,84.484732,7.155,3.98375,6.21,38.46,49.3839998,11.338,9.7525,21.8575,59.765,16.08999975,116.630001,12.1,22.3700005,27.655,2.17,92.70999925,40.33750025,18.4025,83.977499,37.490001,63.24499975,10.3475,55.46499925,14.64,49.11500075,30.80999975,54.7425005,50.5239998,39.807501,15.9759998,2.6325,108.7559984,23.2840004,53.15749925,15.205,6.125,20.06750025,0.9575,19.9320002,26.64499975,7.2125,142.462498,10.24,115.46749875,92.290001,57.95,18.3374995,30.71500025,36.45750025,14.8375,56.70000075,54.5199995,69.7740006,19.5600005,11.78,22.8075,28.4260004,10.995,5.18,4.2525,15.238,30.6925,112.789999,114.4475005,24.41,48.23750025,7.78,23.595,9.8225,8.79,17.41000025,62.09249975,50.1825,14.4725,86.00249875,315.802498,148.5925025,10.72,13.85044675,63.280001,65.03687475,93.0200005,3.7975,36.35999875,54.7475005,13.965,2.035,28.74249975,32.8824995,206.67749775,9.92,11.1475,43.7675,125.63249775,29.14000025,47.85499925,120.40999975,6.615,14.565,35.24250025,17.8949995,4.21,3.145,34.1175,28.35250075,70.682501,47.58500025,48.09000025,23.87,16.65999975,63.19999875,1.315,28.1120004,25.2889005,12.7275,50.7325,16.3775005,29.395,96.798302,32.50499925,68.70500175,241.8580016,10.6625,11.365,55.38500025,62.494999,3.595,42.15500075,16.2425005,25.01249975,14.3125,18.6274995,22.57000025,11.0718,73.38999925,26.7359998,3.455,2.94,9.448,10.6075,21.375,42.31499925,29.56749975,17.0460002,22.6449995,1.21,69.2024975,101.64999975,19.99499975,18.1675,16.9499995,32.0575,14.1425,23.3075005,18.88500025,82.06999975,103.529999,3.5875,18.9440002
1580083200,33.1059998,24.6440002,11.864,8.876,21.5,48.6159988,4.07,79.2180008,60.7974988,6.656,33.082,18.756,37.786,6.446826,45.3099998,7.822,26.8739998,9.024,36.0891838,10.526,36.654,167.7579988,47.3179992,1.61,70.6800018,76.4540008,14.336,4.956,33.4739996,6.032,64.0820002,119.8915984,14.832,20.0560006,7.036,22.3400002,40.644001,208.5779998,65.9460006,5.414,55.0599998,3.942,11.974,20.648,9.72,18.3900006,9.876,54.7659994,18.8019996,9.694,9.981,4.312,59.788,13.496,74.560002,43.7379998,117.0280016,54.0660004,14.756,63.882,16.5800002,12.874,12.724,213.4659974,29.9200004,2.976,4.684,8.274,3.958,21.2460004,7.158,47.1000006,13.578,3.988,47.4760004,12.504,14.382,57.7519998,25.536,8.894,11.688,8.864,4.766,12.954,34.0171196,12.975,11.714,22.1720006,133.7879976,37.0359994,82.353055,7.118,3.332,5.596,36.2880004,47.00749975,11.444,9.212,21.688,56.7600008,15.512,115.8860002,11.182,21.9799994,25.2260002,1.672,86.944,38.3760004,18.498,76.4880004,34.7000002,59.46,10.3446,53.3779998,14.738,49.1120004,31.7499996,56.3099998,58.3419998,37.7839988,14.5425,2.502,131.1740004,22.835,52.0179994,14.37,5.762,19.4459996,1.012,18.25,26.4499996,6.32,137.2899966,10.278,115.8839996,87.504001,55.855999,17.448,28.2580002,33.8399994,14.076,57.7619996,53.6940002,73.5740006,18.9199996,11.316,21.8879998,27.60500075,11.034,4.876,4.294,19.1359996,29.8480004,110.0840012,114.1799988,22.348,46.1499992,7.014,21.8239998,9.95,8.108,16.6419996,60.572,49.1900002,13.606,82.7579974,319.349994,149.6039978,10.344,12.453869,63.9440012,66.822,98.0639968,3.386,36.446,53.0220002,13.06,1.82,27.4160004,31.3220002,203.3160034,9.936,10.078,43.169999,125.4699998,28.6940004,45.8540002,118.074002,6.27,14.656,32.5879998,17.8920004,4.202,3.024,32.5100008,27.7040002,70.3779998,46.8499994,47.5360002,22.9799996,16.6579994,60.6060004,1.328,28.2179996,24.726812,11.83,49.1159996,14.464,28.37,95.7721818,33.0439996,70.2279998,244.0559998,10.786,11.114,56.0559996,61.5280002,3.562,41.5879996,16.6420004,23.76,14.128,18.3079996,21.2740002,11.18,70.1740006,27.0820002,3.046,2.952,9.528,9.796,21.43,41.988,27.8580002,15.0419996,22.05,1.101,64.7779992,95.438002,19.8279998,17.228,16.2520006,30.9899994,14.122,22.1239996,18.5079998,80.5540022,98.9960006,3.37,15.4620002
1580688000,35.1719994,23.2160002,12.305,8.566,21.6399998,49.2720002,4.17,79.7100008,62.2029998,6.68,34.1159996,17.5400002,37.8580002,6.397362,43.286,7.792,28.2739996,9.764,35.9924096,11.494,38.1300002,180.3839996,47.7019996,1.658,77.5820006,77.6279996,14.442,4.988,34.2160004,6.266,61.3560006,155.951602,17.0199998,20.2300004,7.368,24.238,41.3419998,218.726001,66.0659972,5.122,56.322,4.088,12.202,21.0140004,9.91,18.1720004,9.88,54.3919998,17.506,9.658,10.35,4.016,58.9699998,13.438,79.2640016,44.1739998,111.5220002,54.2740006,14.288,65.3619994,16.746,13.426,12.79,209.4620026,29.8719998,2.942,4.848,8.598,4.114,21.1100002,7.578,47.8519998,13.922,3.932,44.0739998,13.2124,14.622,58.8900002,25.9486668,8.952,11.8,8.912,4.898,12.872,34.389444,13.243,11.971,22.986,136.2059966,36.5299996,82.4980928,7.17,3.058,5.33,35.736,56.7059996,11.576,9.228,22.4700002,57.7919996,16.272,119.0160002,12.002,24.2420002,24.9159998,1.69,86.9039994,39.9720002,19.0060002,79.1260008,34.0599998,62.2859992,10.362,54.3299994,14.858,55.29,31.2800004,56.5660002,59.43500025,38.5239996,15.4859996,2.59,110.8050005,18.8279998,52.600001,14.57,6.093,20.6520002,1.088,18.9540002,26.638,5.672,142.2279998,11.918,115.8219974,88.8700012,56.8859998,18.8880006,28.33,34.305999,14.2,60.4660004,54.5059998,83.4960008,19.5100002,11.238,21.87,25.918,10.978,4.924,4.19,17.2400002,29.2540002,108.3679992,114.4080002,22.5099998,47.2380012,8.192,21.9619998,10.003,8.25,16.7860004,61.3880006,49.2859994,13.488,86.5520004,328.3339966,152.2360014,11.5,12.889881,67.3420016,66.7964996,101.567999,3.23,36.1660002,54.2600006,13.44,1.778,27.9099998,29.9420008,202.5919984,9.938,9.856,42.6179992,126.1600008,29.558,45.9459998,119.7699998,6.142,14.538,32.9759996,18.054,4.212,3.17,33.6619994,27.6919994,75.6800004,45.4019998,48.6719992,21.384,17.064,58.1700006,1.416,23.00749975,25.8966036,12.176,46.3879996,15.244,28.3800002,97.1189422,32.3139996,69.297998,266.2599944,10.88,11.122,57.995999,62.8979994,3.598,42.9139998,17.032,20.4480002,14.098,17.446,21.3500002,11.172,69.5499984,25.4359996,3.166,3.03,8.826,9.728,20.8839996,43.3479996,27.7260002,9.678,22.1119998,1.09,67.7119994,90.1760008,19.5,16.6120002,16.432,31.9339998,14.27,23.1219996,18.642,82.1940002,100.1799988,3.158,16.2400002
1581292800,36.4940004,23.52499975,11.877,8.15,22.24,53.9579992,3.94,80.9089996,68.1985016,6.938,34.827999,16.5439998,38.222,6.5358614,42.918,7.73,29.6780002,8.934,35.4990516,15.002,40.4559996,185.3820038,47.9780006,1.564,70.9259994,78.9380004,14.682,5.036,34.9599998,6.826,60.668,156.6791994,17.1520006,20.8979996,6.82,26.56,41.5599998,219.456003,67.1940002,5.174,58.3360008,4.35,11.888,21.4839998,10.152,18.786,9.87,52.718,17.552,9.646,10.385,3.778,58.8640002,13.612,80.5799988,45.5260002,94.99499875,52.8339996,17.286,66.6720002,16.6000002,13.638,12.584,211.6659974,30.1859996,2.948,4.566,9.216,4.43,21.7059998,7.558,48.4440002,14.048,3.96,41.15749925,13.8428,14.762,59.6620004,26.4213334,9.152,11.262,9,4.786,13.504,35.1269606,14.306,11.538,23.8040006,137.8160034,36.4179992,79.919847,7.202,2.728,5.332,36.3699996,54.6120002,11.459,9.012,22.134,58.7740006,16.4600002,120.1919984,12.418,27.198,25.094,2.072,88.564,41.299999,19.0920004,80.5479996,34.8860002,65.3919998,10.378,55.8159994,15.154,58.6339998,28.42,58.068,64.7699992,38.7980004,14.324,2.772,99.317,17.898,53.4599998,14.848,6.204,19.7079998,1.21,19.9520006,27.0740006,5.244,141.1779968,12.584,116.3660002,89.9899992,58.5660004,23.582,27.98,34.5559988,14.536,61.9079994,54.9340002,77.76999875,19.6759998,11.314,22.1019998,26.4820002,11.04,5.106,4.178,15.9624995,28.8780002,110.9560014,117.3380004,22.9240002,47.35,7.864,21.9580004,9.975,9.012,16.8980004,62.8280008,49.2900002,11.858,95.5880004,343.970007,151.0320006,11.736,12.7738096,67.6119996,68.406999,103.5039994,3.166,36.0439988,55.3300012,14.274,1.712,28.763999,29.52,207.0119992,10.08,10.008,40.9719994,124.9759994,29.5959998,43.7380004,117.7959992,6.028,14.68,33.5500008,18.0439994,4.094,3.02,33.5739998,28.426,76.4940002,44.156,49.5679994,20.0519996,17.4559998,58.755999,1.602,22.9240002,26.6700454,12.452,45.5980006,15.668,28.7000004,97.3568268,32.5880006,68.8419998,261.2999998,10.524,12.646,59.1,63.4520006,3.394,43.4599996,16.9179998,21.28,14.34,16.8180002,21.522,11.5775,72.8440002,24.3999996,3.028,2.886,7.7525,9.49,20.411,43.8920004,28.35,12.06,22.9080002,1.11,69.1039994,90.295999,20.2059994,16.08,16.4940004,32.3599998,14.582,24.0920002,17.5420002,93.2619994,101.9899996,3.008,15.784
1581897600,38.54750025,19.5940002,11.62875,7.995,22.5025,56.585,4.055,79.74812325,75.8775025,7.3925,34.55,18.55500025,38.46499925,6.339654,42.61249925,7.3275,28.32249975,7.834,34.18406025,17.762,40.7174995,184.37999725,47.28000075,1.68,75.112001,77.572502,14.47,5.61,34.81750025,7.1225,59.80250075,178.811497,17.3425,20.88749975,6.69,24.79249925,42.28999975,218.322498,65.75999825,5.0375,58.432501,4.1925,11.835,21.91249975,10.4325,20.94750025,9.94,49.7974995,16.9975005,9.7,10.17,3.665,58.1050005,13.5875,84.21249775,45.99000075,103.281999,51.47249975,17.46500025,65.6449985,16.3075,12.7575,12.515,215.01250075,29.9924995,2.87,4.2975,9.1475,5.4125,22.13749975,7.3375,46.5074995,13.9975,4.47,41.3639998,13.905,14.375,59.78750025,26.64083325,9.1875,10.2825,9.05,4.5525,13.6925,35.58309575,15.715,10.979,23.09500025,136.60750175,35.92000025,78.552004,7.2675,2.9175,5.18,36.115,61.8739988,11.875,9.18,21.06500025,58.36999975,16.4025,122.02499975,12.035,27.4174995,24.88999975,2.595,88.83250025,41.79249975,19.46500075,79.3950005,32.07999925,65.81000175,10.395,54.49999975,15.11,58.82250025,26.6625,57.04499925,75.2919998,38.17499925,14.352,2.655,87.0300002,16.2939996,51.81250025,15.285,6.47375,18.58,1.0625,21.0999994,26.12499975,5.8525,139.9449995,13.0675,118.39500025,88.77249925,56.47249975,34.6949985,28.39,33.790001,13.315,61.81500075,54.629999,72.823999,19.74499975,11.29,20.7275,26.852,11.32,4.9375,4.565,17.4940002,27.32999975,109.949999,117.62250125,21.9999995,47.235,7.395,21.83750075,9.888,8.9525,17.0299995,63.6125,49.38249975,11.2375,94.2350005,335.95999925,149.09499725,11.4225,12.74553575,67.76499925,69.458126,100.27999875,3.2125,35.50999925,55.2699995,13.705,1.78,28.9750005,30.3324995,211.1924975,10.0825,9.7125,43.33500025,125.897501,29.52749975,43.8760002,113.39250025,6.1025,14.4775,33.4025,17.2774995,3.7725,3.2725,33.8375005,29.835,75.7600005,43.22000025,45.3775005,21.97499975,17.5400005,58.71999925,1.4575,20.7739996,26.70805825,12.4825,45.4525,16.22000025,28.6075005,94.930773,29.9874995,69.20249975,261.2959992,10.225,13.02,59.1875,62.1075,3.36,44.1799995,16.96750025,20.65750025,14.5025,14.244,21.6524995,11.5725,71.80750075,22.77500025,3.1925,2.7525,7.078,9.52,18.65000025,41.51999925,28.0449995,12.98,23.0975005,1.1025,67.5750005,88.95000075,19.7324995,16.15000025,15.98499975,31.95999975,14.4675,24.7724995,17.77,99.60999875,101.8099995,3.7625,14.538
1582502400,34.3879996,17.8219994,10.911,7.188,22.1659998,46.7339998,4.178,71.2894972,66.2824998,6.376,30.4139996,15.7440002,36.6899992,5.8367682,34.4099992,6.834,22.106,8.262,32.4174572,25.3925,34.9940002,165.8639984,43.7939992,1.436,68.0500002,67.609999,12.526,5.552,31.6099998,6.87,52.9659998,150.3795992,16.6739998,17.36,4.306,23.854,34.8880002,206.7080018,58.4980004,4.004,52.5239996,3.982,10.158,19.7759998,9.558,20.6380006,9.918,38.0200004,15.308,9.688,10.173,3.444,56.2940002,11.72,79.2979996,42.2939992,93.5460006,47.3679998,16.5239996,61.3580008,13.954,12.288,11.076,195.3820006,26.5139998,2.602,3.428,8.6,4.632,20.4059998,6.218,41.7740006,12.73,4.276,44.1440004,13.2704,13.09,56.4980004,24.7773336,8.218,8.6,7.894,3.914,12.052,33.059914,14.072,10.894,20.5259994,124.5080018,32.4980006,75.6068708,6.722,2.352,3.454,34.2859992,63.6259986,12.586,8.338,19.1240002,49.8059998,14.494,110.2080002,10.438,26.7039996,21.9639996,2.15,80.8199996,39.0079994,18.1300004,67.8200004,25.0460004,58.9740006,10.4014,47.078,14.242,56.004,27.6420004,49.0980006,88.9199996,33.6639998,14.35,2.528,79.1100008,18.9279992,47.241999,14.35,5.778,17.7080002,0.936,20.2539996,24.1939998,5.376,124.0500002,12.54,112.514,79.488002,54.028,28.7300002,25.334,28.5159998,12.502,52.4079994,49.4840004,69.864,17.55,11.166,17.7240002,27.2880004,10.786,4.646,4.446,15.948,25.6159994,98.1859984,108.9560014,17.118,41.895999,6.084,18.3179996,9.83,8.32,15.194,61.0760002,46.2220002,10.082,88.372,298.1,141.5679964,10.016,11.4077382,71.9440004,66.1174998,88.6399994,2.79,32.7860002,51.1799996,12.72,1.562,27.032,28.436,187.2339968,9.972,9.072,41.2179992,118.324002,26.324,40.7940002,105.536,5.408,13.24,30.476,14.9760002,3.454,2.932,30.4060002,29.036,71.7720002,41.4839998,40.0199998,19.3920004,16.4340002,51.386,1.241,21.266,22.7551952,10.316,41.8159996,14.262,25.5479998,86.41158,27.5220004,64.8180016,237.2919984,9.628,12.054,55.7760002,55.6320006,3.098,41.4220002,15.6560002,18.5060006,13.254,14.886,19.3639996,11.49,62.6820008,20.5700002,2.828,2.59,7.224,8.994,24.72,32.6579994,25.1720002,11.14,21.3239998,0.9808,59.654,79.7640002,18.0420008,14.272,14.582,26.8759996,13.166,23.688,16.2580002,93.2000018,91.7480012,3.896,13.5175
1583107200,35.036,18.2060002,11.252,6.896,21.4320004,48.2040002,3.862,73.6410004,68.3080016,5.438,27.6,12.42,37.1739996,5.6224236,30.4740002,6.544,17.4500006,8.686,33.4079696,24.6340004,32.8619994,167.1380004,40.0360002,1.33,71.5619996,64.9599998,11.848,5.526,30.4520004,7.074,51.0799996,146.6660004,14.868,14.772,1.49,23.2020004,31.4420008,209.2900026,57.112,3.14,53.3740004,3.762,10.14,17.3000006,9.384,20.6840002,9.93,31.5799998,13.684,9.716,10.057,3.326,57.0339998,11.184,77.6359984,41.5199996,82.3460006,45.0160004,17.3060004,60.3660004,12.274,12.302,11.276,188.069998,25.9640002,2.406,3.068,8.652,4.5,19.8700002,5.566,40.3699996,12.214,4.2,43.2980004,13.326,12.304,56.5799994,23.2579998,7.092,7.832,6.816,3.78,10.888,32.4878748,14.224,10.904,19.3060002,116.0759994,32.2279994,77.719464,6.552,1.888,2.51,36.4939994,67.0719984,13.072,7.75,16.4060004,46.5479994,13.988,112.198001,10.088,27.162,22.9739996,1.944,78.4359982,43.0899994,17.814,56.5419996,22.7079998,59.1280006,12.998,44.1100008,13.514,57.7980012,26.7869998,46.014,87.8925,30.7859998,14.1975,2.554,78.9999998,9.498,48.4419992,15.1140002,5.189,16.4500002,0.898,19.7279998,22.9779998,6.216,116.972,11.108,115.7419998,79.5119996,55.7480006,24.0419998,24.136,26.272,12.44,43.2279998,45.4299996,69.4479996,16.1439998,11.574,16.8040002,28.8940004,10.19,4.732,4.322,16.8439998,26.1400004,96.4039992,106.9279984,15.5359998,37.2739998,4.98,15.2739998,9.906,7.92,14.004,60.6400002,47.1779996,9.1,89.4880006,275.1419922,140.625998,8.974,10.4136904,76.3940002,68.1850006,84.031999,2.522,31.644,49.132,14.294,1.372,26.29,26.3580002,188.7339998,9.976,8.932,42.8419998,121.1039994,24.2420002,35.4240006,101.1699998,4.808,12.464,29.3819998,13.736,3.276,2.76,30.1120004,31.0980002,72.8880004,42.4339994,37.4500006,17.158,16.1980008,47.9620004,1.207,22.3339996,21.0866704,11.312,42.6420008,12.49,24.6500002,82.8898666,28.284,66.0140016,256.0840028,9.572,12.458,56.1839996,56.4139998,3.116,42.3099998,15.6279998,18.18,12.584,14.29,18.802,12.01,64.2240008,19.1020004,2.61,3.57,8.938,9.184,28.58,24.5800002,24.6259996,14.078,20.5219996,0.944,56.242,72.776001,18.0359996,13.384,13.476,22.5279992,12.242,25.6379996,15.7399998,90.8380008,91.2680008,3.794,13.72
